client,round,percentage,count
client_433,2,tensor(0.6604),tensor(19339)
client_1506,3,tensor(0.5405),tensor(15828)
client_737,3,tensor(0.5346),tensor(15654)
client_192,3,tensor(0.6995),tensor(20482)
client_513,3,tensor(0.3515),tensor(10294)
client_856,3,tensor(0.5150),tensor(15081)
client_2290,3,tensor(0.5874),tensor(17199)
client_1125,3,tensor(0.5977),tensor(17503)
client_2015,3,tensor(0.6029),tensor(17655)
client_1664,3,tensor(0.4616),tensor(13516)
client_744,3,tensor(0.5823),tensor(17051)
client_2064,3,tensor(0.5423),tensor(15880)
client_278,3,tensor(0.5933),tensor(17374)
client_530,3,tensor(0.4396),tensor(12873)
client_300,3,tensor(0.6902),tensor(20209)
client_628,3,tensor(0.5173),tensor(15148)
client_1389,3,tensor(0.5447),tensor(15951)
client_1522,4,tensor(0.5607),tensor(16417)
client_817,4,tensor(0.7685),tensor(22502)
client_533,4,tensor(0.3882),tensor(11368)
client_2322,4,tensor(0.4609),tensor(13496)
client_2254,4,tensor(0.4554),tensor(13336)
client_300,4,tensor(0.5894),tensor(17259)
client_859,5,tensor(0.4241),tensor(12418)
client_1295,5,tensor(0.2855),tensor(8361)
client_533,5,tensor(0.2368),tensor(6933)
client_2121,5,tensor(0.4961),tensor(14528)
client_157,5,tensor(0.4831),tensor(14147)
client_43,5,tensor(0.3564),tensor(10437)
client_2316,6,tensor(0.4269),tensor(12500)
client_1805,6,tensor(0.5949),tensor(17419)
client_1369,6,tensor(0.3492),tensor(10225)
client_760,6,tensor(0.5702),tensor(16696)
client_345,6,tensor(0.3404),tensor(9969)
client_2031,6,tensor(0.4688),tensor(13728)
client_1125,6,tensor(0.3550),tensor(10395)
client_1107,6,tensor(0.6289),tensor(18416)
client_845,6,tensor(0.2864),tensor(8387)
client_1696,6,tensor(0.2733),tensor(8002)
client_1768,6,tensor(0.3509),tensor(10274)
client_1664,6,tensor(0.1855),tensor(5432)
client_137,6,tensor(0.5312),tensor(15555)
client_343,6,tensor(0.3187),tensor(9331)
client_1615,6,tensor(0.3048),tensor(8924)
client_2269,7,tensor(0.6257),tensor(18321)
client_1500,7,tensor(0.3375),tensor(9883)
client_1278,7,tensor(0.2819),tensor(8255)
client_1317,7,tensor(0.5935),tensor(17379)
client_1198,7,tensor(0.5310),tensor(15549)
client_157,7,tensor(0.2193),tensor(6422)
client_2199,7,tensor(0.4507),tensor(13198)
client_830,7,tensor(0.4964),tensor(14537)
client_1215,7,tensor(0.2530),tensor(7407)
client_194,7,tensor(0.2244),tensor(6571)
client_2254,7,tensor(0.3084),tensor(9032)
client_2062,7,tensor(0.5364),tensor(15708)
client_1851,7,tensor(0.2697),tensor(7896)
client_275,7,tensor(0.3577),tensor(10474)
client_226,7,tensor(0.4956),tensor(14513)
client_464,7,tensor(0.6136),tensor(17968)
client_535,7,tensor(0.5826),tensor(17061)
client_544,7,tensor(0.6693),tensor(19598)
client_1166,7,tensor(0.5431),tensor(15904)
client_1847,7,tensor(0.4877),tensor(14282)
client_1297,7,tensor(0.3506),tensor(10266)
client_2302,7,tensor(0.4446),tensor(13020)
client_1434,8,tensor(0.2520),tensor(7378)
client_879,8,tensor(0.2355),tensor(6895)
client_151,8,tensor(0.5292),tensor(15497)
client_2200,8,tensor(0.6265),tensor(18344)
client_174,8,tensor(0.3538),tensor(10360)
client_718,8,tensor(0.4277),tensor(12523)
client_1367,8,tensor(0.4666),tensor(13664)
client_1460,8,tensor(0.3044),tensor(8912)
client_1806,8,tensor(0.1501),tensor(4394)
client_1395,8,tensor(0.5463),tensor(15998)
client_471,8,tensor(0.3434),tensor(10055)
client_543,8,tensor(0.2684),tensor(7858)
client_198,8,tensor(0.4567),tensor(13372)
client_1641,8,tensor(0.2097),tensor(6139)
client_2280,8,tensor(0.2385),tensor(6983)
client_1495,8,tensor(0.3280),tensor(9604)
client_394,8,tensor(0.3783),tensor(11078)
client_1736,8,tensor(0.5058),tensor(14810)
