client,round,percentage,count
client_2330,0,tensor(0.7009),tensor(20523)
client_196,0,tensor(0.4619),tensor(13526)
client_2016,0,tensor(0.4264),tensor(12487)
client_2201,0,tensor(0.6159),tensor(18034)
client_1352,0,tensor(0.5560),tensor(16282)
client_1161,0,tensor(0.6180),tensor(18097)
client_2016,0,tensor(0.4926),tensor(14423)
client_1861,0,tensor(0.1268),tensor(3713)
client_1211,0,tensor(0.1036),tensor(3034)
client_661,0,tensor(0.5638),tensor(16510)
client_1691,0,tensor(0.0325),tensor(953)
client_268,0,tensor(0.0865),tensor(2533)
client_424,0,tensor(0.5023),tensor(14708)
client_809,0,tensor(0.5822),tensor(17049)
client_1955,0,tensor(0.5856),tensor(17149)
client_1042,0,tensor(0.4726),tensor(13839)
client_1024,0,tensor(0.1056),tensor(3092)
client_354,0,tensor(0.1071),tensor(3136)
client_1178,0,tensor(0.6011),tensor(17601)
client_1892,0,tensor(0.6493),tensor(19014)
client_2226,0,tensor(0.4707),tensor(13784)
client_2214,0,tensor(0.4639),tensor(13584)
client_1006,0,tensor(0.1167),tensor(3417)
client_42,0,tensor(0.0477),tensor(1397)
client_2038,0,tensor(0.1419),tensor(4154)
client_619,0,tensor(0.0818),tensor(2394)
client_1259,0,tensor(0.5249),tensor(15371)
client_928,0,tensor(0.5427),tensor(15891)
client_1259,0,tensor(0.2029),tensor(5942)
client_1349,0,tensor(0.0806),tensor(2359)
client_124,0,tensor(0.0961),tensor(2813)
client_1108,0,tensor(0.0426),tensor(1248)
client_2116,0,tensor(0.1635),tensor(4789)
client_272,0,tensor(0.0427),tensor(1250)
client_2261,0,tensor(0.6917),tensor(20255)
client_1344,0,tensor(0.5306),tensor(15536)
client_108,0,tensor(0.0093),tensor(271)
client_856,0,tensor(0.4246),tensor(12432)
client_1198,0,tensor(0.1456),tensor(4263)
client_1260,0,tensor(0.5400),tensor(15813)
client_730,0,tensor(0.1074),tensor(3146)
client_1089,0,tensor(0.1052),tensor(3080)
client_1659,0,tensor(0.1697),tensor(4970)
client_620,0,tensor(0.0578),tensor(1693)
client_476,0,tensor(0.1120),tensor(3280)
client_2199,0,tensor(0.1206),tensor(3531)
client_577,0,tensor(0.1125),tensor(3295)
client_448,0,tensor(0.1040),tensor(3046)
client_899,0,tensor(0.0974),tensor(2851)
client_1357,0,tensor(0.5277),tensor(15451)
client_1470,0,tensor(0.5219),tensor(15281)
client_424,0,tensor(0.1042),tensor(3051)
client_1160,0,tensor(0.1075),tensor(3148)
client_1599,0,tensor(0.1555),tensor(4554)
client_2233,0,tensor(0.0509),tensor(1491)
client_133,0,tensor(0.1773),tensor(5193)
client_2232,0,tensor(0.0941),tensor(2756)
client_661,0,tensor(0.1692),tensor(4954)
client_1046,0,tensor(0.5093),tensor(14913)
client_281,0,tensor(0.0240),tensor(703)
client_2231,0,tensor(0.0238),tensor(698)
client_201,0,tensor(0.0363),tensor(1063)
client_1447,0,tensor(0.0960),tensor(2812)
client_1330,0,tensor(0.0970),tensor(2840)
client_2189,0,tensor(0.0940),tensor(2753)
client_2189,0,tensor(0.0700),tensor(2049)
client_244,0,tensor(0.0542),tensor(1586)
client_1380,0,tensor(0.0525),tensor(1536)
client_154,0,tensor(0.4599),tensor(13468)
client_1840,0,tensor(0.0827),tensor(2423)
client_1747,0,tensor(0.1199),tensor(3510)
client_528,0,tensor(0.4611),tensor(13503)
client_901,0,tensor(0.1014),tensor(2969)
client_2104,0,tensor(0.5484),tensor(16057)
client_1755,0,tensor(0.1401),tensor(4103)
client_2226,0,tensor(0.0887),tensor(2598)
client_661,0,tensor(0.0923),tensor(2703)
client_1456,0,tensor(0.1189),tensor(3483)
client_566,0,tensor(0.0969),tensor(2837)
client_191,0,tensor(0.0709),tensor(2077)
client_687,0,tensor(0.7369),tensor(21579)
client_533,0,tensor(0.0636),tensor(1861)
client_690,0,tensor(0.0566),tensor(1658)
client_730,0,tensor(0.0813),tensor(2382)
client_929,0,tensor(0.0866),tensor(2536)
client_2253,0,tensor(0.0604),tensor(1770)
client_238,0,tensor(0.0665),tensor(1947)
client_2197,0,tensor(0.1033),tensor(3026)
client_1801,0,tensor(0.1321),tensor(3868)
client_1838,0,tensor(0.1550),tensor(4539)
client_1160,0,tensor(0.1000),tensor(2927)
client_1910,0,tensor(0.1487),tensor(4355)
client_1466,0,tensor(0.5194),tensor(15210)
client_690,0,tensor(0.0493),tensor(1444)
client_2188,0,tensor(0.1416),tensor(4145)
client_869,0,tensor(0.0575),tensor(1684)
client_510,0,tensor(0.0297),tensor(871)
client_1719,0,tensor(0.0643),tensor(1883)
client_460,0,tensor(0.0708),tensor(2072)
client_2047,0,tensor(0.0845),tensor(2473)
client_829,0,tensor(0.0433),tensor(1267)
client_816,0,tensor(0.0761),tensor(2229)
client_228,0,tensor(0.4644),tensor(13600)
client_1382,0,tensor(0.0839),tensor(2458)
client_1173,0,tensor(0.0738),tensor(2161)
client_1563,0,tensor(0.0435),tensor(1274)
client_703,0,tensor(0.0146),tensor(428)
client_1801,0,tensor(0.0638),tensor(1868)
client_631,0,tensor(0.0605),tensor(1772)
client_844,0,tensor(0.0631),tensor(1847)
client_2214,0,tensor(0.0778),tensor(2279)
client_2232,0,tensor(0.0873),tensor(2555)
client_1125,0,tensor(0.4992),tensor(14617)
client_1267,0,tensor(0.5287),tensor(15482)
client_2239,0,tensor(0.0562),tensor(1647)
client_506,0,tensor(0.1492),tensor(4368)
client_1748,0,tensor(0.0688),tensor(2016)
client_1108,0,tensor(0.0779),tensor(2281)
client_1369,0,tensor(0.1003),tensor(2936)
client_1167,0,tensor(0.0389),tensor(1138)
client_968,0,tensor(0.0714),tensor(2092)
client_684,0,tensor(0.0749),tensor(2194)
client_1128,0,tensor(0.5827),tensor(17064)
client_760,0,tensor(0.0795),tensor(2329)
client_1344,0,tensor(0.0825),tensor(2416)
client_400,0,tensor(0.6565),tensor(19223)
client_2149,0,tensor(0.1235),tensor(3617)
client_1614,0,tensor(0.1035),tensor(3032)
client_2016,0,tensor(0.0984),tensor(2881)
client_367,0,tensor(0.0754),tensor(2209)
client_186,0,tensor(0.1495),tensor(4379)
client_69,0,tensor(0.0404),tensor(1183)
client_1761,0,tensor(0.0648),tensor(1898)
client_160,0,tensor(0.0823),tensor(2409)
