client,round,percentage,count
client_119,3,tensor(0.0017),tensor(446)
client_53,3,tensor(0.0010),tensor(245)
client_65,3,tensor(0.0009),tensor(242)
client_97,4,tensor(0.0006),tensor(159)
client_23,4,tensor(0.0015),tensor(393)
client_96,4,tensor(0.0017),tensor(426)
client_132,4,tensor(0.0015),tensor(386)
client_86,5,tensor(0.0012),tensor(304)
client_36,5,tensor(0.0012),tensor(304)
client_23,5,tensor(0.0007),tensor(190)
client_135,5,tensor(0.0020),tensor(517)
client_3,6,tensor(0.0013),tensor(335)
client_96,6,tensor(0.0013),tensor(338)
client_121,7,tensor(0.0038),tensor(977)
client_113,7,tensor(0.0027),tensor(697)
client_79,7,tensor(0.0038),tensor(968)
client_47,7,tensor(0.0034),tensor(874)
client_105,7,tensor(0.0020),tensor(523)
client_149,7,tensor(0.0041),tensor(1057)
client_38,7,tensor(0.0015),tensor(392)
client_92,8,tensor(0.0066),tensor(1680)
client_47,8,tensor(0.0014),tensor(370)
client_72,8,tensor(0.0022),tensor(560)
client_135,8,tensor(0.0026),tensor(655)
client_18,8,tensor(0.0044),tensor(1122)
client_74,8,tensor(0.0015),tensor(397)
client_155,9,tensor(0.0019),tensor(478)
client_53,9,tensor(0.0052),tensor(1335)
client_58,9,tensor(0.0021),tensor(551)
client_86,9,tensor(0.0038),tensor(973)
client_31,9,tensor(0.0042),tensor(1066)
client_96,9,tensor(0.0029),tensor(743)
client_92,9,tensor(0.0015),tensor(375)
client_84,9,tensor(0.0047),tensor(1212)
client_149,10,tensor(0.0049),tensor(1256)
client_93,10,tensor(0.0045),tensor(1162)
client_9,10,tensor(0.0045),tensor(1145)
client_91,10,tensor(0.0052),tensor(1327)
client_19,10,tensor(0.0029),tensor(731)
client_59,11,tensor(0.0122),tensor(3133)
client_96,11,tensor(0.0037),tensor(961)
client_110,11,tensor(0.0035),tensor(893)
client_151,11,tensor(0.0096),tensor(2474)
client_32,11,tensor(0.0029),tensor(734)
client_99,11,tensor(0.0099),tensor(2541)
client_9,12,tensor(0.0036),tensor(929)
client_19,12,tensor(0.0055),tensor(1412)
client_151,12,tensor(0.0033),tensor(858)
client_134,12,tensor(0.0106),tensor(2722)
client_88,12,tensor(0.0180),tensor(4615)
client_26,12,tensor(0.0049),tensor(1247)
client_113,13,tensor(0.0094),tensor(2409)
client_112,13,tensor(0.0074),tensor(1905)
client_0,13,tensor(0.0167),tensor(4291)
client_105,13,tensor(0.0086),tensor(2210)
client_127,13,tensor(0.0077),tensor(1983)
client_66,13,tensor(0.0170),tensor(4351)
client_26,14,tensor(0.0069),tensor(1770)
client_134,14,tensor(0.0081),tensor(2065)
client_127,14,tensor(0.0052),tensor(1321)
