client,round,percentage,count
client_79,0,tensor(0.0006),tensor(158)
client_74,0,tensor(0.0011),tensor(285)
client_60,0,tensor(0.0005),tensor(140)
client_162,0,tensor(0.0003),tensor(69)
client_132,0,tensor(0.0007),tensor(167)
client_132,0,tensor(0.0007),tensor(184)
client_120,0,tensor(0.0003),tensor(73)
client_132,0,tensor(0.0005),tensor(136)
client_146,0,tensor(0.0006),tensor(166)
client_119,0,tensor(0.0003),tensor(83)
client_75,0,tensor(0.0009),tensor(220)
client_87,0,tensor(0.0007),tensor(188)
client_60,0,tensor(0.0005),tensor(137)
client_169,0,tensor(0.0008),tensor(215)
client_127,0,tensor(0.0003),tensor(82)
client_141,0,tensor(0.0016),tensor(421)
client_152,0,tensor(0.0005),tensor(118)
client_120,0,tensor(0.0005),tensor(133)
client_127,0,tensor(0.0014),tensor(348)
client_20,0,tensor(0.0017),tensor(437)
client_167,0,tensor(0.0016),tensor(418)
client_153,0,tensor(0.0011),tensor(285)
client_27,0,tensor(0.0006),tensor(151)
client_165,0,tensor(0.0026),tensor(677)
client_37,0,tensor(0.0004),tensor(100)
client_119,0,tensor(0.0008),tensor(200)
client_12,0,tensor(0.0026),tensor(667)
client_75,0,tensor(0.0014),tensor(359)
client_153,0,tensor(0.0010),tensor(265)
client_77,0,tensor(0.0009),tensor(221)
client_75,0,tensor(0.0015),tensor(387)
client_92,0,tensor(0.0018),tensor(468)
client_107,0,tensor(0.0030),tensor(760)
client_162,0,tensor(0.0007),tensor(169)
client_153,0,tensor(0.0009),tensor(234)
client_148,0,tensor(0.0007),tensor(181)
client_40,0,tensor(0.0002),tensor(51)
client_88,0,tensor(0.0014),tensor(364)
client_105,0,tensor(0.0021),tensor(531)
client_51,0,tensor(0.0003),tensor(83)
client_167,0,tensor(0.0018),tensor(455)
client_9,0,tensor(0.0009),tensor(231)
client_44,0,tensor(0.0004),tensor(96)
client_56,0,tensor(0.0005),tensor(125)
client_159,0,tensor(0.0011),tensor(287)
client_92,0,tensor(0.0004),tensor(102)
client_126,0,tensor(0.0020),tensor(502)
client_133,0,tensor(0.0017),tensor(447)
client_9,0,tensor(0.0014),tensor(368)
client_24,0,tensor(0.0009),tensor(241)
client_66,0,tensor(0.0005),tensor(120)
client_20,0,tensor(0.0018),tensor(470)
client_93,0,tensor(0.0028),tensor(726)
client_132,0,tensor(0.0006),tensor(143)
client_165,0,tensor(0.0015),tensor(392)
client_146,0,tensor(0.0005),tensor(118)
client_172,0,tensor(0.0003),tensor(79)
client_48,0,tensor(0.0007),tensor(172)
client_77,0,tensor(0.0025),tensor(650)
client_22,0,tensor(0.0007),tensor(177)
client_168,0,tensor(0.0008),tensor(196)
client_69,0,tensor(0.0011),tensor(277)
client_111,0,tensor(0.0020),tensor(523)
client_132,0,tensor(0.0047),tensor(1208)
client_144,0,tensor(0.0015),tensor(380)
client_162,0,tensor(0.0034),tensor(874)
client_66,0,tensor(0.0034),tensor(880)
client_146,0,tensor(0.0040),tensor(1024)
client_126,0,tensor(0.0009),tensor(219)
client_105,0,tensor(0.0009),tensor(236)
client_38,0,tensor(0.0032),tensor(820)
client_12,0,tensor(0.0015),tensor(392)
client_167,0,tensor(0.0018),tensor(457)
client_0,0,tensor(0.0026),tensor(667)
client_42,0,tensor(0.0026),tensor(665)
client_11,0,tensor(0.0044),tensor(1134)
client_6,0,tensor(0.0023),tensor(599)
client_107,0,tensor(0.0042),tensor(1065)
client_6,0,tensor(0.0032),tensor(818)
client_58,0,tensor(0.0030),tensor(776)
client_166,0,tensor(0.0056),tensor(1433)
client_93,0,tensor(0.0007),tensor(181)
client_169,0,tensor(0.0010),tensor(249)
client_45,0,tensor(0.0009),tensor(238)
client_77,0,tensor(0.0013),tensor(330)
client_35,0,tensor(0.0008),tensor(213)
client_138,0,tensor(0.0058),tensor(1484)
client_165,0,tensor(0.0015),tensor(376)
client_5,0,tensor(0.0007),tensor(185)
client_34,0,tensor(0.0029),tensor(739)
client_60,0,tensor(0.0080),tensor(2056)
client_58,0,tensor(0.0007),tensor(167)
client_69,0,tensor(0.0022),tensor(558)
client_104,0,tensor(0.0063),tensor(1603)
client_54,0,tensor(0.0020),tensor(504)
client_77,0,tensor(0.0024),tensor(625)
client_64,0,tensor(0.0017),tensor(426)
client_69,0,tensor(0.0009),tensor(220)
client_9,0,tensor(0.0033),tensor(857)
client_171,0,tensor(0.0035),tensor(891)
client_56,0,tensor(0.0073),tensor(1873)
client_102,0,tensor(0.0017),tensor(436)
client_85,0,tensor(0.0008),tensor(216)
client_99,0,tensor(0.0019),tensor(486)
client_5,0,tensor(0.0026),tensor(677)
client_50,0,tensor(0.0008),tensor(211)
client_175,0,tensor(0.0046),tensor(1168)
client_117,0,tensor(0.0009),tensor(236)
client_154,0,tensor(0.0042),tensor(1071)
client_99,0,tensor(0.0012),tensor(301)
client_105,0,tensor(0.0007),tensor(178)
client_46,0,tensor(0.0021),tensor(538)
client_153,0,tensor(0.0029),tensor(732)
client_81,0,tensor(0.0036),tensor(914)
client_98,0,tensor(0.0023),tensor(602)
client_36,0,tensor(0.0013),tensor(336)
client_109,0,tensor(0.0078),tensor(1991)
client_90,0,tensor(0.0068),tensor(1740)
client_46,0,tensor(0.0148),tensor(3806)
client_123,0,tensor(0.0056),tensor(1427)
client_65,0,tensor(0.0007),tensor(189)
client_117,0,tensor(0.0007),tensor(190)
client_157,0,tensor(0.0033),tensor(846)
client_37,0,tensor(0.0018),tensor(456)
client_174,0,tensor(0.0057),tensor(1467)
client_110,0,tensor(0.0089),tensor(2273)
client_138,0,tensor(0.0022),tensor(557)
client_90,0,tensor(0.0024),tensor(623)
client_62,0,tensor(0.0017),tensor(424)
client_80,0,tensor(0.0066),tensor(1705)
client_20,0,tensor(0.0075),tensor(1928)
client_150,0,tensor(0.0153),tensor(3930)
client_105,0,tensor(0.0073),tensor(1882)
client_153,0,tensor(0.0032),tensor(822)
client_121,0,tensor(0.0050),tensor(1287)
client_179,0,tensor(0.0120),tensor(3078)
client_46,0,tensor(0.0083),tensor(2127)
client_64,0,tensor(0.0016),tensor(418)
