client,round,percentage,count
client_2435,2,tensor(0.0002),tensor(238)
client_419,2,tensor(0.0003),tensor(320)
client_2993,2,tensor(0.0002),tensor(256)
client_3292,2,tensor(0.0003),tensor(364)
client_1872,2,tensor(0.0004),tensor(373)
client_2731,2,tensor(0.0003),tensor(297)
client_784,2,tensor(0.0002),tensor(224)
client_3112,2,tensor(0.0002),tensor(252)
client_917,2,tensor(0.0003),tensor(283)
client_2576,2,tensor(0.0003),tensor(282)
client_730,3,tensor(0.0004),tensor(385)
client_23,3,tensor(0.0003),tensor(291)
client_1363,3,tensor(0.0002),tensor(244)
client_1313,3,tensor(0.0003),tensor(326)
client_984,3,tensor(0.0003),tensor(284)
client_1036,3,tensor(0.0003),tensor(293)
client_3175,3,tensor(0.0003),tensor(367)
client_616,3,tensor(0.0003),tensor(327)
client_1998,3,tensor(0.0004),tensor(377)
client_3109,3,tensor(0.0005),tensor(563)
client_3186,3,tensor(0.0004),tensor(419)
client_3211,3,tensor(0.0002),tensor(182)
client_2296,3,tensor(0.0003),tensor(334)
client_419,3,tensor(0.0003),tensor(331)
client_2619,3,tensor(0.0004),tensor(394)
client_104,3,tensor(0.0003),tensor(320)
client_2506,3,tensor(0.0003),tensor(363)
client_2174,3,tensor(0.0003),tensor(354)
client_3112,3,tensor(0.0003),tensor(336)
client_2430,3,tensor(0.0005),tensor(522)
client_1946,3,tensor(0.0003),tensor(292)
client_1771,3,tensor(0.0002),tensor(237)
client_2576,3,tensor(0.0003),tensor(304)
client_984,4,tensor(0.0003),tensor(313)
client_272,4,tensor(0.0002),tensor(260)
client_1122,4,tensor(0.0002),tensor(248)
client_1587,4,tensor(0.0004),tensor(404)
client_825,4,tensor(0.0005),tensor(504)
client_22,4,tensor(0.0003),tensor(349)
client_3058,4,tensor(0.0003),tensor(327)
client_2473,4,tensor(0.0002),tensor(258)
client_906,4,tensor(0.0005),tensor(495)
client_1173,4,tensor(0.0003),tensor(332)
client_3459,4,tensor(0.0003),tensor(323)
client_910,4,tensor(0.0004),tensor(414)
client_579,4,tensor(0.0005),tensor(477)
client_2090,4,tensor(0.0004),tensor(466)
client_2576,4,tensor(0.0003),tensor(337)
client_2931,4,tensor(0.0002),tensor(240)
client_852,4,tensor(0.0004),tensor(371)
client_3465,4,tensor(0.0004),tensor(420)
client_1128,4,tensor(0.0004),tensor(436)
client_376,4,tensor(0.0002),tensor(208)
client_1082,4,tensor(0.0003),tensor(330)
client_1096,4,tensor(0.0004),tensor(446)
client_2506,4,tensor(0.0004),tensor(416)
client_3342,4,tensor(0.0005),tensor(536)
client_3458,4,tensor(0.0005),tensor(545)
client_3112,4,tensor(0.0003),tensor(305)
client_2546,4,tensor(0.0003),tensor(326)
client_3172,4,tensor(0.0004),tensor(382)
client_1646,4,tensor(0.0004),tensor(373)
client_3341,4,tensor(0.0005),tensor(485)
client_2472,4,tensor(0.0003),tensor(312)
client_2471,4,tensor(0.0003),tensor(297)
client_2381,4,tensor(0.0003),tensor(332)
client_1373,4,tensor(0.0004),tensor(446)
client_1289,4,tensor(0.0004),tensor(435)
client_548,4,tensor(0.0004),tensor(370)
client_328,4,tensor(0.0003),tensor(274)
client_2741,4,tensor(0.0002),tensor(196)
client_2588,5,tensor(0.0005),tensor(493)
client_2249,5,tensor(0.0003),tensor(357)
client_1680,5,tensor(0.0004),tensor(462)
client_1451,5,tensor(0.0003),tensor(336)
client_1348,5,tensor(0.0004),tensor(426)
client_892,5,tensor(0.0004),tensor(379)
client_797,5,tensor(0.0003),tensor(287)
client_2932,5,tensor(0.0005),tensor(533)
client_405,5,tensor(0.0004),tensor(407)
client_2881,5,tensor(0.0003),tensor(365)
client_111,5,tensor(0.0005),tensor(534)
client_2599,5,tensor(0.0004),tensor(420)
client_1078,5,tensor(0.0004),tensor(402)
client_521,5,tensor(0.0004),tensor(387)
client_2261,5,tensor(0.0003),tensor(351)
client_1307,5,tensor(0.0005),tensor(546)
client_2433,5,tensor(0.0004),tensor(431)
client_3458,5,tensor(0.0005),tensor(539)
client_2626,5,tensor(0.0004),tensor(436)
client_2498,5,tensor(0.0004),tensor(430)
client_332,5,tensor(0.0003),tensor(288)
client_3023,5,tensor(0.0003),tensor(355)
client_2546,5,tensor(0.0003),tensor(268)
client_3144,5,tensor(0.0004),tensor(456)
client_3425,5,tensor(0.0003),tensor(312)
client_1137,5,tensor(0.0002),tensor(244)
client_3350,5,tensor(0.0004),tensor(394)
client_2886,5,tensor(0.0005),tensor(514)
client_1533,5,tensor(0.0004),tensor(426)
client_1911,5,tensor(0.0004),tensor(435)
client_1730,5,tensor(0.0003),tensor(315)
client_1676,5,tensor(0.0004),tensor(439)
client_2508,5,tensor(0.0004),tensor(400)
client_1130,5,tensor(0.0003),tensor(347)
