client,round,percentage,count
client_1557,0,tensor(0.7382),tensor(21615)
client_1432,0,tensor(0.7477),tensor(21894)
client_1085,0,tensor(0.6678),tensor(19554)
client_2207,0,tensor(0.4990),tensor(14612)
client_2109,0,tensor(0.6563),tensor(19217)
client_2129,0,tensor(0.6122),tensor(17926)
client_1060,0,tensor(0.6173),tensor(18075)
client_2176,0,tensor(0.5975),tensor(17495)
client_1432,0,tensor(0.5043),tensor(14766)
client_614,0,tensor(0.4174),tensor(12222)
client_1183,0,tensor(0.6030),tensor(17656)
client_166,0,tensor(0.7423),tensor(21737)
client_1505,0,tensor(0.5754),tensor(16850)
client_1341,0,tensor(0.5905),tensor(17291)
client_2153,0,tensor(0.6175),tensor(18081)
client_44,0,tensor(0.5836),tensor(17089)
client_1728,0,tensor(0.6002),tensor(17575)
client_845,0,tensor(0.5528),tensor(16186)
client_2141,0,tensor(0.6526),tensor(19108)
client_584,0,tensor(0.6648),tensor(19467)
client_796,0,tensor(0.6253),tensor(18309)
client_1053,0,tensor(0.6342),tensor(18571)
client_1552,0,tensor(0.6830),tensor(20001)
client_342,0,tensor(0.6173),tensor(18077)
client_888,0,tensor(0.5516),tensor(16152)
client_1329,0,tensor(0.5637),tensor(16507)
client_1451,0,tensor(0.8342),tensor(24428)
client_253,0,tensor(0.5535),tensor(16208)
client_2160,0,tensor(0.5360),tensor(15694)
client_1929,0,tensor(0.6423),tensor(18809)
client_1541,0,tensor(0.6348),tensor(18588)
client_1958,0,tensor(0.6265),tensor(18345)
client_642,0,tensor(0.6809),tensor(19938)
client_635,0,tensor(0.5942),tensor(17398)
client_1505,0,tensor(0.6906),tensor(20222)
client_1085,0,tensor(0.6319),tensor(18502)
client_109,0,tensor(0.6907),tensor(20224)
client_1346,0,tensor(0.5929),tensor(17360)
client_2106,0,tensor(0.6463),tensor(18924)
client_1049,0,tensor(0.3920),tensor(11478)
client_443,0,tensor(0.5712),tensor(16726)
client_327,0,tensor(0.6741),tensor(19739)
client_1329,0,tensor(0.4448),tensor(13024)
client_66,0,tensor(0.5948),tensor(17418)
